pyramid_t80_a110.0_b2.25,,,,,,,,,
Summary,raw,quality,coverage,comprehension,,,Raw-manual,,0.258140513
D0608.M.250.H.14,21,0.75,0.259259259,0.50462963,,,,,
D0608.M.250.H.17,7,0.4375,0.086419753,0.261959877,,,,,
D0608.M.250.H.10,18,0.5625,0.222222222,0.392361111,,,,,
D0608.M.250.H.25,9,0.75,0.111111111,0.430555556,,,,,
D0608.M.250.H.24,20,0.555555556,0.24691358,0.401234568,,,,,
D0608.M.250.H.5,22,0.55,0.271604938,0.410802469,,,,,
D0608.M.250.H.28,15,0.625,0.185185185,0.405092593,,,,,
D0608.M.250.H.27,16,0.571428571,0.197530864,0.384479718,,,,,
D0608.M.250.H.1,11,0.458333333,0.135802469,0.297067901,,,,,
D0608.M.250.H.35,13,0.541666667,0.160493827,0.351080247,,,,,
D0608.M.250.H.23,22,0.55,0.271604938,0.410802469,,,,,
D0608.M.250.H.2,19,0.678571429,0.234567901,0.456569665,,,,,
D0608.M.250.H.29,12,0.375,0.148148148,0.261574074,,,,,
D0608.M.250.H.22,21,0.875,0.259259259,0.56712963,,,,,
D0608.M.250.H.33,11,0.6875,0.135802469,0.411651235,,,,,
D0608.M.250.H.19,13,0.8125,0.160493827,0.486496914,,,,,
D0608.M.250.H.6,12,0.6,0.148148148,0.374074074,,,,,
D0608.M.250.H.18,7,0.583333333,0.086419753,0.334876543,,,,,
pyramid_t80_a100.0_b2.5,,,,,,,,,
Summary,raw,quality,coverage,comprehension,,,,,
D0608.M.250.H.3,12,0.375,0.098360656,0.236680328,,,,,0.326625141
D0608.M.250.H.14,17,0.708333333,0.139344262,0.423838798,,,,,
D0608.M.250.H.17,8,0.333333333,0.06557377,0.199453552,,,,,
D0608.M.250.H.10,20,0.5,0.163934426,0.331967213,,,,,
D0608.M.250.H.25,4,0.2,0.032786885,0.116393443,,,,,
D0608.M.250.H.24,13,0.325,0.106557377,0.215778689,,,,,
D0608.M.250.H.5,20,0.5,0.163934426,0.331967213,,,,,
D0608.M.250.H.28,16,0.5,0.131147541,0.31557377,,,,,
D0608.M.250.H.27,12,0.3,0.098360656,0.199180328,,,,,
D0608.M.250.H.1,9,0.45,0.073770492,0.261885246,,,,,
D0608.M.250.H.35,8,0.25,0.06557377,0.157786885,,,,,
D0608.M.250.H.23,18,0.375,0.147540984,0.261270492,,,,,
D0608.M.250.H.2,17,0.53125,0.139344262,0.335297131,,,,,
D0608.M.250.H.29,17,0.472222222,0.139344262,0.305783242,,,,,
D0608.M.250.H.22,11,0.392857143,0.090163934,0.241510539,,,,,
D0608.M.250.H.33,15,0.535714286,0.12295082,0.329332553,,,,,
D0608.M.250.H.19,11,0.458333333,0.090163934,0.274248634,,,,,
D0608.M.250.H.6,11,0.55,0.090163934,0.320081967,,,,,
D0608.M.250.H.18,9,0.45,0.073770492,0.261885246,,,,,
pyramid_t80_a90.0_b2.25,,,,,,,,,
Summary,raw,quality,coverage,comprehension,,,,,
D0608.M.250.H.3,12,0.428571429,0.108108108,0.268339768,,,16,0.554905897,
D0608.M.250.H.14,13,0.40625,0.117117117,0.261683559,,,10,,
D0608.M.250.H.17,6,0.25,0.054054054,0.152027027,,,7,,
D0608.M.250.H.10,26,0.65,0.234234234,0.442117117,,,25,,
D0608.M.250.H.25,5,0.3125,0.045045045,0.178772523,,,7,,
D0608.M.250.H.24,18,0.45,0.162162162,0.306081081,,,7,,
D0608.M.250.H.5,20,0.555555556,0.18018018,0.367867868,,,13,,
D0608.M.250.H.28,15,0.535714286,0.135135135,0.33542471,,,4,,
D0608.M.250.H.27,14,0.35,0.126126126,0.238063063,,,19,,
D0608.M.250.H.1,11,0.392857143,0.099099099,0.245978121,,,13,,
D0608.M.250.H.35,15,0.46875,0.135135135,0.301942568,,,16,,
D0608.M.250.H.23,21,0.477272727,0.189189189,0.333230958,,,13,,
D0608.M.250.H.2,17,0.53125,0.153153153,0.342201577,,,16,,
D0608.M.250.H.29,12,0.333333333,0.108108108,0.220720721,,,7,,
D0608.M.250.H.22,13,0.40625,0.117117117,0.261683559,,,4,,
D0608.M.250.H.33,16,0.571428571,0.144144144,0.357786358,,,7,,
D0608.M.250.H.19,10,0.416666667,0.09009009,0.253378378,,,10,,
D0608.M.250.H.6,9,0.375,0.081081081,0.228040541,,,10,,
D0608.M.250.H.18,9,0.45,0.081081081,0.265540541,,,4,,
pyramid_t80_a120.0_b1.75,,,,,,,,,
Summary,raw,quality,coverage,comprehension,,,,,
D0608.M.250.H.3,5,0.208333333,0.054347826,0.13134058,,,16,0.08469631,
D0608.M.250.H.14,15,0.625,0.163043478,0.394021739,,,10,,
D0608.M.250.H.17,4,0.2,0.043478261,0.12173913,,,7,,
D0608.M.250.H.10,15,0.535714286,0.163043478,0.349378882,,,25,,
D0608.M.250.H.25,8,0.5,0.086956522,0.293478261,,,7,,
D0608.M.250.H.24,22,0.6875,0.239130435,0.463315217,,,7,,
D0608.M.250.H.5,18,0.409090909,0.195652174,0.302371542,,,13,,
D0608.M.250.H.28,13,0.541666667,0.141304348,0.341485507,,,4,,
D0608.M.250.H.27,15,0.535714286,0.163043478,0.349378882,,,19,,
D0608.M.250.H.1,7,0.35,0.076086957,0.213043478,,,13,,
D0608.M.250.H.35,11,0.458333333,0.119565217,0.288949275,,,16,,
D0608.M.250.H.23,21,0.477272727,0.22826087,0.352766798,,,13,,
D0608.M.250.H.2,15,0.535714286,0.163043478,0.349378882,,,16,,
D0608.M.250.H.29,14,0.4375,0.152173913,0.294836957,,,7,,
D0608.M.250.H.22,22,0.785714286,0.239130435,0.51242236,,,4,,
D0608.M.250.H.33,9,0.45,0.097826087,0.273913043,,,7,,
D0608.M.250.H.19,12,0.6,0.130434783,0.365217391,,,10,,
D0608.M.250.H.6,13,0.8125,0.141304348,0.476902174,,,10,,
D0608.M.250.H.18,4,0.5,0.043478261,0.27173913,,,4,,
pyramid_t80_a110.0_b1.75,,,,,,,,,
Summary,raw,quality,coverage,comprehension,,,,,
D0608.M.250.H.3,5,0.208333333,0.054347826,0.13134058,,,,0.08469631,
D0608.M.250.H.14,15,0.625,0.163043478,0.394021739,,,,,
D0608.M.250.H.17,4,0.2,0.043478261,0.12173913,,,,,
D0608.M.250.H.10,15,0.535714286,0.163043478,0.349378882,,,,,
D0608.M.250.H.25,8,0.5,0.086956522,0.293478261,,,,,
D0608.M.250.H.24,22,0.6875,0.239130435,0.463315217,,,,,
D0608.M.250.H.5,18,0.409090909,0.195652174,0.302371542,,,,,
D0608.M.250.H.28,13,0.541666667,0.141304348,0.341485507,,,,,
D0608.M.250.H.27,15,0.535714286,0.163043478,0.349378882,,,,,
D0608.M.250.H.1,7,0.35,0.076086957,0.213043478,,,,,
D0608.M.250.H.35,11,0.458333333,0.119565217,0.288949275,,,,,
D0608.M.250.H.23,21,0.477272727,0.22826087,0.352766798,,,,,
D0608.M.250.H.2,15,0.535714286,0.163043478,0.349378882,,,,,
D0608.M.250.H.29,14,0.4375,0.152173913,0.294836957,,,,,
D0608.M.250.H.22,22,0.785714286,0.239130435,0.51242236,,,,,
D0608.M.250.H.33,9,0.45,0.097826087,0.273913043,,,,,
D0608.M.250.H.19,12,0.6,0.130434783,0.365217391,,,,,
D0608.M.250.H.6,13,0.8125,0.141304348,0.476902174,,,,,
D0608.M.250.H.18,4,0.5,0.043478261,0.27173913,,,,,
pyramid_t80_a80.0_b1.75,,,,,,,,,
Summary,raw,quality,coverage,comprehension,,,,,
D0608.M.250.H.3,10,0.357142857,0.113636364,0.23538961,,,16,0.347407687,
D0608.M.250.H.14,13,0.464285714,0.147727273,0.306006494,,,10,,
D0608.M.250.H.17,6,0.3,0.068181818,0.184090909,,,7,,
D0608.M.250.H.10,17,0.53125,0.193181818,0.362215909,,,25,,
D0608.M.250.H.25,7,0.4375,0.079545455,0.258522727,,,7,,
D0608.M.250.H.24,19,0.678571429,0.215909091,0.44724026,,,7,,
D0608.M.250.H.5,17,0.425,0.193181818,0.309090909,,,13,,
D0608.M.250.H.28,12,0.5,0.136363636,0.318181818,,,4,,
D0608.M.250.H.27,15,0.535714286,0.170454545,0.353084416,,,19,,
D0608.M.250.H.1,6,0.3,0.068181818,0.184090909,,,13,,
D0608.M.250.H.35,11,0.458333333,0.125,0.291666667,,,16,,
D0608.M.250.H.23,21,0.477272727,0.238636364,0.357954545,,,13,,
D0608.M.250.H.2,17,0.53125,0.193181818,0.362215909,,,16,,
D0608.M.250.H.29,16,0.444444444,0.181818182,0.313131313,,,7,,
D0608.M.250.H.22,14,0.583333333,0.159090909,0.371212121,,,4,,
D0608.M.250.H.33,8,0.4,0.090909091,0.245454545,,,7,,
D0608.M.250.H.19,10,0.625,0.113636364,0.369318182,,,10,,
D0608.M.250.H.6,13,0.8125,0.147727273,0.480113636,,,10,,
D0608.M.250.H.18,6,0.5,0.068181818,0.284090909,,,4,,
pyramid_t80_a80.0_b2.25,,,,,,,,,
Summary,raw,quality,coverage,comprehension,,,,,
D0608.M.250.H.3,12,0.375,0.098360656,0.236680328,,,16,0.326625141,
D0608.M.250.H.14,17,0.708333333,0.139344262,0.423838798,,,10,,
D0608.M.250.H.17,8,0.333333333,0.06557377,0.199453552,,,7,,
D0608.M.250.H.10,20,0.5,0.163934426,0.331967213,,,25,,
D0608.M.250.H.25,4,0.2,0.032786885,0.116393443,,,7,,
D0608.M.250.H.24,13,0.325,0.106557377,0.215778689,,,7,,
D0608.M.250.H.5,20,0.5,0.163934426,0.331967213,,,13,,
D0608.M.250.H.28,16,0.5,0.131147541,0.31557377,,,4,,
D0608.M.250.H.27,12,0.3,0.098360656,0.199180328,,,19,,
D0608.M.250.H.1,9,0.45,0.073770492,0.261885246,,,13,,
D0608.M.250.H.35,8,0.25,0.06557377,0.157786885,,,16,,
D0608.M.250.H.23,18,0.375,0.147540984,0.261270492,,,13,,
D0608.M.250.H.2,17,0.53125,0.139344262,0.335297131,,,16,,
D0608.M.250.H.29,17,0.472222222,0.139344262,0.305783242,,,7,,
D0608.M.250.H.22,11,0.392857143,0.090163934,0.241510539,,,4,,
D0608.M.250.H.33,15,0.535714286,0.12295082,0.329332553,,,7,,
D0608.M.250.H.19,11,0.458333333,0.090163934,0.274248634,,,10,,
D0608.M.250.H.6,11,0.55,0.090163934,0.320081967,,,10,,
D0608.M.250.H.18,9,0.45,0.073770492,0.261885246,,,4,,
pyramid_t80_a100.0_b2.25,,,,,,,,,
Summary,raw,quality,coverage,comprehension,,,,,
D0608.M.250.H.3,11,0.458333333,0.112244898,0.285289116,,,16,0.43156804,
D0608.M.250.H.14,16,0.571428571,0.163265306,0.367346939,,,10,,
D0608.M.250.H.17,9,0.45,0.091836735,0.270918367,,,7,,
D0608.M.250.H.10,24,0.666666667,0.244897959,0.455782313,,,25,,
D0608.M.250.H.25,11,0.55,0.112244898,0.331122449,,,7,,
D0608.M.250.H.24,21,0.583333333,0.214285714,0.398809524,,,7,,
D0608.M.250.H.5,22,0.55,0.224489796,0.387244898,,,13,,
D0608.M.250.H.28,16,0.666666667,0.163265306,0.414965986,,,4,,
D0608.M.250.H.27,17,0.607142857,0.173469388,0.390306122,,,19,,
D0608.M.250.H.1,9,0.375,0.091836735,0.233418367,,,13,,
D0608.M.250.H.35,16,0.5,0.163265306,0.331632653,,,16,,
D0608.M.250.H.23,23,0.522727273,0.234693878,0.378710575,,,13,,
D0608.M.250.H.2,20,0.714285714,0.204081633,0.459183673,,,16,,
D0608.M.250.H.29,14,0.4375,0.142857143,0.290178571,,,7,,
D0608.M.250.H.22,18,0.5625,0.183673469,0.373086735,,,4,,
D0608.M.250.H.33,17,0.607142857,0.173469388,0.390306122,,,7,,
D0608.M.250.H.19,11,0.55,0.112244898,0.331122449,,,10,,
D0608.M.250.H.6,12,0.5,0.12244898,0.31122449,,,10,,
D0608.M.250.H.18,4,0.5,0.040816327,0.270408163,,,4,,
pyramid_t80_a80.0_b2.0,,,,,,,,,
Summary,raw,quality,coverage,comprehension,,,,,
D0608.M.250.H.3,11,0.458333333,0.129411765,0.293872549,,,16,0.299567048,
D0608.M.250.H.14,18,0.75,0.211764706,0.480882353,,,10,,
D0608.M.250.H.17,9,0.45,0.105882353,0.277941176,,,7,,
